"","year","state_code","less_than_high_school","high_school_graduate_ged_or_alternative_credential","some_college_associate_degree","bachelors_degree_or_higher"
"662",2018,39,325,410,566,1387
"663",2018,40,0,0,420,1266
"664",2018,41,370,114,893,882
"665",2018,42,423,4629,1632,3984
"666",2018,44,0,1680,287,234
"667",2018,45,283,1333,523,951
"668",2018,47,0,43,291,1467
"669",2018,48,0,3154,4326,9259
"670",2018,49,147,740,1376,2280
"671",2018,50,0,0,0,44
"672",2018,51,108,1160,1996,3642
"673",2018,53,84,1173,1581,2299
"674",2018,54,0,0,0,183
"675",2018,55,0,0,552,1619
"676",2019,1,218,58,480,815
"677",2019,2,0,247,0,0
"678",2019,4,113,1290,806,1373
"679",2019,5,8,142,102,390
"680",2019,6,2270,6246,8858,24636
"681",2019,8,40,204,432,1832
"682",2019,9,3239,5378,2675,6466
"683",2019,10,121,148,45,71
"684",2019,11,0,167,102,1091
"685",2019,12,3530,24773,16467,41884
"686",2019,13,990,3137,2105,6206
"687",2019,15,555,263,37,256
"688",2019,16,0,0,77,271
"689",2019,17,159,299,1394,3806
"690",2019,18,0,239,372,1127
"691",2019,19,0,0,34,0
"692",2019,20,0,691,241,1132
"693",2019,21,75,95,102,1053
"694",2019,22,0,182,332,956
"695",2019,23,0,0,234,375
"696",2019,24,252,481,1296,2693
"697",2019,25,8480,30589,13323,15368
"698",2019,26,0,251,1275,3923
"699",2019,27,367,242,1048,1195
"700",2019,28,0,0,0,126
"701",2019,29,0,229,276,586
"702",2019,30,0,0,0,178
"703",2019,31,0,77,98,567
"704",2019,32,921,994,1633,1301
"705",2019,33,386,1102,994,1031
"706",2019,34,3328,15452,6075,8639
"707",2019,35,0,71,39,144
"708",2019,36,1460,5401,5890,14033
"709",2019,37,349,1547,1602,2515
"710",2019,39,0,1119,1041,1827
"711",2019,40,0,181,0,621
"712",2019,41,0,18,204,1094
"713",2019,42,731,3291,775,4944
"714",2019,44,79,378,350,1200
"715",2019,45,405,1695,536,1572
"716",2019,47,0,195,644,1101
"717",2019,48,534,1880,4162,9900
"718",2019,49,455,1297,1172,3274
"719",2019,50,0,0,0,0
"720",2019,51,296,818,1851,2176
"721",2019,53,169,1152,1821,3185
"722",2019,54,0,0,0,0
"723",2019,55,0,0,87,600
